
_________________________ 
GENERAL NAKSHATRA FOR EACH CHAMPION | KEY PLAYSTYLE: 
vi: purvashadha | magha
viktor: ashlesha | purvaphalguni
vladimir: punarvasu | uttaraphalguni
volibear: ardra | purvashadha
warwick: krittika | revati
wukong: shravana | anuradha
xayah: chitra | pushya
xerath: uttarabhadrapada | hasta
xin zhao: dhanista | dhanista
yasuo: jyestha | purvaphalguni
yorick: ardra | jyestha
yuumi: ardra | punarvasu
zac: ardra | bharani
zed: jyestha | pushya
ziggs: mrigashira | dhanista
zilean: dhanista | punarvasu
zoe: ardra | punarvasu
zyra: uttarabhadrapada | uttaraphalguni

___________________________________________________ 
my jungler arsenal (some order): 
karthus, ekko, rengar, jax, graves
master yi, warwick, amumu, wukong, lee sin, rammus - these can be added in too, cuz I know how to play them 
hecarim, shaco - these are supposed to fit my playstyle also

my mid arsenal (some order): 
annie, neeko, zed, orianna, vladimir, kassadin, zoe
in order learn: kassadin > zed > neeko / zoe > vladimir > oriana > annie

my top arsenal (some sort of order): 
kayle, vladimir, shen, renekton, sion, tryndamere, vayne, camille, volibear

my bot arsenal (in order): 
cassiopeia, aphelios, caitlyn, ziggs, sivir, xayah, vayne
and add twitch, kog maw just because you know them 

my support arsenal: 
thresh, pantheon 

______________________________________ 
changes to top tier list: 
top add: yorick 
mid add: yasuo 
jungle add: master yi 
bottom add: sivir 
support add: taric 
______________________________________ 
ultimate top tier champion: 
top: mordekaiser 
mid: fizz 
jungle: hecarim 
bot: jinx 
support: thresh 
______________________________________ 
ultimate team comp from choices: 
top: dr mundo
mid: katarina
jungle: volibear
bottom: kalista
support: velkoz 

another ultimate team comp from choices: 
top: renekton
mid: kassadin
jungle: reksai
bottom: lucian
support: taric 
_____________________________________________ 
our most winning team comp from choices: 
top (lungs): tryndamere
mid (me): kassadin
jungle (mune): ivern
bottom (hitta): jhin
support (jadae): alistar 

_____________________________________________ 
ideal combinations with my mid characters: 
annie:	
	2 champion combos: 
		top: chogath 
		jungle: shaco 
		bot: lucian 
		support: velkoz 
	full team combo: 
		top: volibear 
		jungle: wukong 
		bot: ziggs 
		support: pyke 

kassadin: 
	2 champion combos: 
		top: volibear
		jungle: karthus > elise
		bot: cassiopeia
		support: leona
	full team combo: 
		top: ornn
		jungle: ivern
		bot: caitlyn
		support: pyke

